session,name,party,id
64th,"Francis Gibson(until Nov. 8, 2021)Stephen Whyte(appointed Nov. 9 2021)",Rep,GIBSOF
64th,Jeff Burton,Rep,BURTOJS
64th,Doug Welton,Rep,WELTOD
64th,Merrill Nelson,Rep,NELSOM
64th,Christine Watkins,Rep,WATKIC
64th,Carl Albrecht,Rep,ALBREC
64th,Bradley Last,Rep,LASTB
64th,Rex Shipp,Rep,SHIPPR
64th,Phil Lyman,Rep,LYMANP
64th,V. Lowry Snow,Rep,SNOWVL
64th,Walt Brooks,Rep,BROOKW
65th,Thomas W. Peterson,Rep,PETERTW
65th,Michael J. Petersen,Rep,PETERMJ
65th,Dan N. Johnson,Rep,JOHNSDN
65th,Kera Birkeland,Rep,BIRKEK
65th,Casey Snider,Rep,SNIDEC
65th,Matthew H. Gwynn,Rep,GWYNNMH
65th,Ryan D. Wilcox,Rep,WILCORD
65th,Jason B. Kyle,Rep,KYLEJB
65th,Calvin R. Musselman,Rep,MUSSECR
65th,Rosemary T. Lesser,Dem,LESSER
65th,Katy Hall,Rep,HALLK
65th,Mike Schultz,Rep,SCHULM
65th,Karen M. Peterson,Rep,PETERKM
65th,Karianne Lisonbee,Rep,LISONK
65th,Ariel Defay,Rep,DEFAYA
65th,Trevor Lee,Rep,LEET
65th,Stewart E. Barlow,Rep,BARLOSE
65th,Paul A. Cutler,Rep,CUTLEPA
65th,Raymond P. Ward,Rep,WARDRP
65th,Melissa G. Ballard,Rep,BALLAMG
65th,Sandra Hollins,Dem,HOLLIS
65th,Jennifer Dailey-Provost,Dem,DAILEJ
65th,Brian S. King,Dem,KINGBS
65th,Joel K. Briscoe,Dem,BRISCJK
65th,Angela Romero,Dem,ROMERA
65th,Matt MacPherson,Rep,MACPHM
65th,Anthony E. Loubet,Rep,LOUBEAE
65th,Tim Jimenez,Rep,JIMENT
65th,Bridger Bolinder,Rep,BOLINB
65th,Judy Weeks-Rohner,Rep,WEEKSJ
65th,Brett Garner,Dem,GARNEB
65th,Sahara Hayes,Dem,HAYESS
65th,Doug Owens,Dem,OWENSD
65th,Carol S. Moss,Dem,MOSSCS
65th,Mark A. Wheatley,Dem,WHEATMA
65th,James A. Dunnigan,Rep,DUNNIJA
65th,Ashlee Matthews,Dem,MATTHA
65th,Cheryl K. Acton,Rep,ACTONCK
65th,Ken Ivory,Rep,IVORYK
65th,Andrew Stoddard,Dem,STODDA
65th,Gay Lynn Bennion,Dem,LYNN G
65th,Robert M. Spendlove,Rep,SPENDRM
65th,Steve Eliason,Rep,ELIASS
65th,Jordan D. Teuscher,Rep,TEUSCJD
65th,Susan Pulsipher,Rep,PULSIS
65th,Jeffrey D. Stenquist,Rep,STENQJ
65th,Mark A. Strong,Rep,STRONMA
65th,James F. Cobb,Rep,COBBJF
65th,Candice P. Pierucci,Rep,PIERUCP
65th,Stephanie Gricius,Rep,GRICIS
65th,Jefferson Moss,Rep,MOSSJ
65th,A. Cory Maloy,Rep,MALOYAC
65th,Kay J. Christofferson,Rep,CHRISKJ
65th,Brady Brammer,Rep,BRAMMB
65th,Jon Hawkins,Rep,HAWKIJ
65th,Val L. Peterson,Rep,PETERVL
65th,Nelson T. Abbott,Rep,ABBOTNT
65th,Keven J. Stratton,Rep,STRATKJ
65th,Mike L. Kohler,Rep,KOHLEML
65th,Tyler Clancy,Rep,CLANCT
65th,Marsha Judkins,Rep,JUDKIM
65th,Norman K Thurston,Rep,THURSNK
65th,Stephen L. Whyte,Rep,WHYTESL
65th,Jefferson S. Burton,Rep,BURTOJS
65th,Douglas R. Welton,Rep,WELTODR
65th,Steven J. Lund,Rep,LUNDSJ
65th,Christine F. Watkins,Rep,WATKICF
65th,Scott H. Chew,Rep,CHEWSH
65th,Phil Lyman,Rep,LYMANP
65th,Carl R. Albrecht,Rep,ALBRECR
65th,Rex Shipp,Rep,SHIPPR
65th,Joseph Elison,Rep,ELISOJ
65th,Colin W. Jack,Rep,JACKCW
65th,R. Neil Walter,Rep,WALTERN
65th,Walt Brooks,Rep,BROOKW
66th,Thomas W. Peterson,Rep,PETERTW
66th,Michael J. Petersen,Rep,PETERMJ
66th,Jason E. Thompson,Rep,THOMPJE
66th,Tiara Auxier,Rep,AUXIET
66th,Casey Snider,Rep,SNIDEC
66th,Matthew H. Gwynn,Rep,GWYNNMH
66th,Ryan D. Wilcox,Rep,WILCORD
66th,Jason B. Kyle,Rep,KYLEJB
66th,Jake Sawyer,Rep,SAWYEJ
66th,Jill Koford,Rep,KOFORJ
66th,Katy Hall,Rep,HALLK
66th,Mike Schultz,Rep,SCHULM
66th,Karen M. Peterson,Rep,PETERKM
66th,Karianne Lisonbee,Rep,LISONK
66th,Ariel Defay,Rep,DEFAYA
66th,Trevor Lee,Rep,LEET
66th,Stewart E. Barlow,Rep,BARLOSE
66th,Paul A. Cutler,Rep,CUTLEPA
66th,Raymond P. Ward,Rep,WARDRP
66th,Melissa G. Ballard,Rep,BALLAMG
66th,Sandra Hollins,Dem,HOLLIS
66th,Jennifer Dailey-Provost,Dem,DAILEJ
66th,Hoang Nguyen,Dem,NGUYEH
66th,Grant Amjad Miller,Dem,MILLGR
66th,Angela Romero,Dem,ROMERA
66th,Matt MacPherson,Rep,MACPHM
66th,Anthony E. Loubet,Rep,LOUBEAE
66th,Nicholeen Peck,Rep,PECKNI
66th,Bridger Bolinder,Rep,BOLINB
66th,Jake Fitisemanu,Dem,FITISJ
66th,Verona Mauga,Dem,MAUGAV
66th,Sahara Hayes,Dem,HAYESS
66th,Doug Owens,Dem,OWENSD
66th,Carol S. Moss,Dem,MOSSCS
66th,Rosalba Dominguez,Dem,DOMINR
66th,James A. Dunnigan,Rep,DUNNIJA
66th,Ashlee Matthews,Dem,MATTHA
66th,Cheryl K. Acton,Rep,ACTONCK
66th,Ken Ivory,Rep,IVORYK
66th,Andrew Stoddard,Dem,STODDA
66th,Gay Lynn Bennion,Dem,LYNN G
66th,Clinton Okerlund,Rep,OKERLC
66th,Steve Eliason,Rep,ELIASS
66th,Jordan D. Teuscher,Rep,TEUSCJD
66th,Tracy Miller,Rep,MILLET
66th,Calvin Roberts,Rep,ROBERC
66th,Mark A. Strong,Rep,STRONMA
66th,James F. Cobb,Rep,COBBJF
66th,Candice P. Pierucci,Rep,PIERUCP
66th,Stephanie Gricius,Rep,GRICIS
66th,Jefferson Moss,Rep,MOSSJ
66th,A. Cory Maloy,Rep,MALOYAC
66th,Kay J. Christofferson,Rep,CHRISKJ
66th,Kristen Chevrier,Rep,CHEVRK
66th,Jon Hawkins,Rep,HAWKIJ
66th,Val L. Peterson,Rep,PETERVL
66th,Nelson T. Abbott,Rep,ABBOTNT
66th,David Shallenberger,Rep,SHALLD
66th,Mike L. Kohler,Rep,KOHLEML
66th,Tyler Clancy,Rep,CLANCT
66th,Lisa Shepherd,Rep,SHEPHL
66th,Norman K Thurston,Rep,THURSNK
66th,Stephen L. Whyte,Rep,WHYTESL
66th,Jefferson S. Burton,Rep,BURTOJS
66th,Douglas R. Welton,Rep,WELTODR
66th,Troy Shelley,Rep,SHELLT
66th,Christine F. Watkins,Rep,WATKICF
66th,Scott H. Chew,Rep,CHEWSH
66th,Logan Monson,Rep,MONSOL
66th,Carl R. Albrecht,Rep,ALBRECR
66th,Rex Shipp,Rep,SHIPPR
66th,Joseph Elison,Rep,ELISOJ
66th,Colin W. Jack,Rep,JACKCW
66th,R. Neil Walter,Rep,WALTERN
66th,Walt Brooks,Rep,BROOKW
66th,Doug Fiefia,Rep,FIEFID
66th,Jason Thompson,Rep,THOMJA
66th,John Arthur,Dem,ARTHUJ
65th,Quinn Kotter,Rep,KOTTEQ
65th,James F. Cobb,Rep,COBBJ
65th,Colin W. Jack,Rep,JACKC
65th,R. Neil Walter,Rep,WALTER
65th,Anthony E. Loubet,Rep,LOUBEA
65th,Trevor Lee,Rep,LEETA
64th,Rex P. Shipp,Rep,SHIPPRP
63rd,Travis M. Seegmiller,Rep,SEEGMTM
65th,Paul A. Cutler,Rep,CUTLEP
65th,Thomas W. Peterson,Rep,PETERT
65th,Judy Weeks Rohner,Rep,ROHNEJ
65th,Doug Owens,Dem,OWENSDO
65th,Gay Lynn Bennion,Dem,BENNIGL
62nd,Kelly B. Miles,Rep,MILESKB
62nd,Adam Gardiner,Rep,GARDIA
63rd,Luz Escamilla,Dem,ESCAML
63rd,Derek Kitchen,Dem,KITCHD
63rd,Gene Davis,Dem,DAVISG
63rd,Jani Iwamoto,Dem,IWAMOJ
63rd,Karen Mayne,Dem,MAYNEK
63rd,Wayne Harper,Rep,HARPEW
63rd,Deidre Henderson,Rep,HENDEDM
63rd,Kathleen Riebe,Dem,RIEBEK
63rd,Kirk Cullimore Jr.,Rep,CULLIK
63rd,Lincoln Fillmore,Rep,FILLML
63rd,Daniel McCay,Rep,MCCAYD
63rd,Daniel Thatcher,Rep,THATCD
63rd,Jake Anderegg,Rep,ANDERJ
63rd,Dan Hemmert,Rep,HEMMED
63rd,Keith Grover,Rep,GROVEK
63rd,Curt Bramble,Rep,BRAMBC
63rd,Scott Sandall,Rep,SANDAS
63rd,F. Ann Millner,Rep,MILLNFA
63rd,Allen M. Christensen,Rep,CHRISAM
63rd,D. Gregg Buxton,Rep,BUXTODG
63rd,Jerry Stevenson,Rep,STEVEJ
63rd,J. Stuart Adams,Rep,ADAMSJS
63rd,Todd Weiler,Rep,WEILET
63rd,Ralph Okerlund,Rep,OKERLR
63rd,Lyle W. Hillyard,Rep,HILLYLW
63rd,Ronald Winterton,Rep,WINTER
63rd,David Hinkins,Rep,HINKID
63rd,Evan Vickers,Rep,VICKEE
63rd,Don Ipson,Rep,IPSOND
64th,Luz Escamilla,Dem,ESCAML
64th,Derek Kitchen,Dem,KITCHD
64th,Gene Davis,Dem,DAVISG
64th,Jani Iwamoto,Dem,IWAMOJ
64th,Karen Mayne,Dem,MAYNEK
64th,Wayne Harper,Rep,HARPEW
64th,Mike McKell,Rep,MCKELM
64th,Kathleen Riebe,Dem,RIEBEK
64th,Kirk Cullimore Jr.,Rep,CULLIK
64th,Lincoln Fillmore,Rep,FILLML
64th,Daniel McCay,Rep,MCCAYD
64th,Daniel Thatcher,Rep,THATCD
64th,Jake Anderegg,Rep,ANDERJ
64th,Mike Kennedy,Rep,KENNEMS
64th,Keith Grover,Rep,GROVEK
64th,Curt Bramble,Rep,BRAMBC
64th,Scott Sandall,Rep,SANDAS
64th,F. Ann Millner,Rep,MILLNFA
64th,John Johnson,Rep,JOHNSJD
64th,D. Gregg Buxton,Rep,BUXTODG
64th,Jerry Stevenson,Rep,STEVEJ
64th,J. Stuart Adams,Rep,ADAMSJS
64th,Todd Weiler,Rep,WEILET
64th,Derrin Owens,Rep,OWENSD
64th,Chris H. Wilson,Rep,WILSOCH
64th,Ronald Winterton,Rep,WINTER
64th,David Hinkins,Rep,HINKID
64th,Evan Vickers,Rep,VICKEE
64th,Don Ipson,Rep,IPSOND
66th,Scott Sandall,Rep,SANDAS
66th,Chris H. Wilson,Rep,WILSOCH
66th,John D. Johnson,Rep,JOHNSJD
66th,Cal Musselman,Rep,MUSSECR
66th,Ann Millner,Rep,MILLNA
66th,Jerry Stevenson,Rep,STEVEJ
66th,Stuart Adams,Rep,ADAMSJS
66th,Todd Weiler,Rep,WEILET
66th,Jennifer Plumb,Dem,PLUMBJ
66th,Luz Escamilla,Dem,ESCAML
66th,Daniel Thatcher,FWD,THATCD
66th,Karen Kwan,Dem,KWANK
66th,Nate Blouin,Dem,BLOUIN
66th,Stephanie Pitcher,Dem,PITCHS
66th,Kathleen Riebe,Dem,RIEBEK
66th,Wayne Harper,Rep,HARPEW
66th,Lincoln Fillmore,Rep,FILLML
66th,Daniel McCay,Rep,MCCAYD
66th,Kirk Cullimore Jr.,Rep,CULLIK
66th,Ronald Winterton,Rep,WINTER
66th,Brady Brammer,Rep,BRAMMB
66th,Heidi Balderree,Rep,BALDEH
66th,Keith Grover,Rep,GROVEK
66th,Keven Stratton,Rep,STRATKJ
66th,Mike McKell,Rep,MCKELM
66th,David Hinkins,Rep,HINKID
66th,Derrin Owens,Rep,OWENSD
66th,Evan Vickers,Rep,VICKEE
66th,Don Ipson,Rep,IPSOND
66th,Kirk A. Cullimore,Rep,CULLIKA
66th,Emily Buss,FWD,BUSSEM
64th,Derek L. Kitchen,Dem,KITCHDL
66th,Don L. Ipson,Rep,IPSONDL
62nd,Brian Zehnder,Rep,ZEHNDB
62nd,Wayne L. Niederhauser,Rep,NIEDEWL
62nd,Jim Dabakis,Dem,DABAKJ
62nd,Daniel W. Thatcher,FWD,THATCDW
.,.,Rep,SANPED
.,.,Rep,DEEBL
.,.,Rep,FROERG
.,.,Rep,GREENBM
.,.,Rep,COXFC
.,.,Rep,ODAC
.,.,Rep,MCIFFKL
.,.,Rep,DRAXLJR
.,.,Rep,WEBBRC
.,.,Rep,STANAJE
.,.,Rep,LASTBG
.,.,Rep,SANDASD
.,.,Rep,POWELK
.,.,Rep,CUTLEBR
.,.,Rep,CUNNIR
.,.,Rep,WESTWJR
.,.,Rep,EDWARRP
.,.,Rep,CHRISFL
.,.,Rep,KNOTWJ
.,.,Rep,REDDEH
.,.,Rep,HANDYSG
.,.,Rep,PETERJA
.,.,Dem,ROMERAY
.,.,Rep,TANNEED
.,.,Rep,NOELME
.,.,Rep,HAWKETD
.,.,Rep,ANDERJL
.,.,Dem,HEMINLN
.,.,Rep,DICARSM
.,.,Rep,LIFFEDE
.,.,Rep,NELSOMF
.,.,Rep,WILSOBR
.,.,Rep,GIBSOFD
.,.,Rep,FAWSOJL
.,.,Rep,PITCHDM
.,.,Dem,CHAVER
.,.,Rep,BROWNMR
.,.,Rep,HUGHEGH
.,.,Rep,URQUHSH
.,.,Rep,SHIOZBE
.,.,Rep,HARPEWA
.,.,Rep,STEVEJW
.,.,Rep,JENKISK
.,.,Rep,VANTAKT
.,.,Rep,KNUDSPC
.,.,Rep,VICKEEJ
.,.,Rep,DAYTOM
.,.,Rep,BRAMBCS
.,.,Rep,STEPHHA
.,.,Rep,JACKSAB
.,.,Rep,HINKIDP
.,.,Rep,MADSEMB
